29/08/2019 09:33:10 | WARNING |logs.py | mensagem de Warning
29/08/2019 09:33:10 | ERROR |logs.py | mensagem de ERROR
29/08/2019 09:33:10 | CRITICAL |logs.py | mensagem de CRITICAL
29/08/2019 09:49:11 | INFO |logs.py | Mengao Campeao Libertadores 2019
29/08/2019 09:49:11 | WARNING |logs.py | mensagem de Warning
29/08/2019 09:49:11 | ERROR |logs.py | mensagem de ERROR
29/08/2019 09:49:11 | CRITICAL |logs.py | mensagem de CRITICAL
29/08/2019 09:50:04 | INFO |logs.py | Mengao Campeao Libertadores 2019
29/08/2019 09:50:04 | WARNING |logs.py | mensagem de Warning
29/08/2019 09:50:04 | ERROR |logs.py | mensagem de ERROR
29/08/2019 09:50:04 | CRITICAL |logs.py | mensagem de CRITICAL
29/08/2019 09:50:35 | INFO |logs.py | Mengao Campeao Libertadores 2019
29/08/2019 09:50:35 | WARNING |logs.py | mensagem de Warning
29/08/2019 09:50:35 | ERROR |logs.py | mensagem de ERROR
29/08/2019 09:50:35 | CRITICAL |logs.py | mensagem de CRITICAL
29/08/2019 09:51:52 | INFO |logs.py | Mengao Campeao Libertadores 2019
29/08/2019 09:51:52 | WARNING |logs.py | mensagem de Warning
29/08/2019 09:51:52 | ERROR |logs.py | mensagem de ERROR
29/08/2019 09:51:52 | CRITICAL |logs.py | mensagem de CRITICAL
